     Year,  Month, DPM_t_C_ha, RPM_t_C_ha, Bio_t_C_ha, Hum_t_C_ha, IOM_t_C_ha, SOC_t_C_ha, CO2_t_C_ha,  deltaC
    1994,      12,     0.0373,     5.5394,     0.8427,    31.9875,     3.0041,    41.4110,   109.9356,   14.56
    1995,      12,     0.2522,     5.7966,     0.8644,    31.9990,     3.0041,    41.9163,   112.0236,   14.66
    1996,      12,     0.5394,     6.4660,     0.9349,    32.0895,     3.0041,    43.0339,   113.7685,   16.38
    1997,      12,     0.1938,     6.5629,     0.9834,    32.1776,     3.0041,    42.9218,   115.9226,   15.20
    1998,      12,     0.0639,     6.3689,     0.9675,    32.2047,     3.0041,    42.6091,   118.5904,   13.26
    1999,      12,     0.4466,     5.8488,     0.8443,    32.0761,     3.0041,    42.2199,   121.0406,   10.96
    2000,      12,     0.3638,     6.1145,     0.8983,    32.1315,     3.0041,    42.5122,   123.8357,   10.41
    2001,      12,     0.0548,     5.9966,     0.9146,    32.1705,     3.0041,    42.1406,   126.4190,    8.72
    2002,      12,     0.1995,     6.2158,     0.9307,    32.2060,     3.0041,    42.5560,   128.2996,    8.71
    2003,      12,     0.3233,     6.5225,     0.9616,    32.2631,     3.0041,    43.0746,   130.0222,    8.93
    2004,      12,     0.5296,     6.4820,     0.9307,    32.2569,     3.0041,    43.2032,   132.3882,    8.15
    2005,      12,     0.1987,     6.3729,     0.9508,    32.3062,     3.0041,    42.8326,   134.8449,    6.71
    2006,      12,     0.0334,     6.3590,     0.9726,    32.3720,     3.0041,    42.7412,   137.9896,    5.60
    2007,      12,     0.1857,     6.2814,     0.9405,    32.3636,     3.0041,    42.7752,   139.9298,    4.92
