example input data to run RothC for a number of years
clay and depth are only needed once, other data is monthly jan-dec 
clay	depth	iom	nsteps			
13.0	25.0	3.0041	840
year	modern	Tmp	Rain	Evap	C inp	FYM	PC	DPM/RPM
1945	95	6.92	33.7	11.8	0	0	1	1.44
1945	95	4.41	88.6	5.1	0	0	1	1.44
1946	95	2.79	45.2	8.5	0	0	0	1.44
1946	95	5.84	58.6	20.4	0	0	0	1.44
1946	95	4.61	40.8	43.5	0	0	0	1.44
1946	95	9.53	34.8	70.6	0	0	0	1.44
1946	95	10.09	59.1	102.8	0	0	1	1.44
1946	95	13.18	96.4	118.4	0	0	1	1.44
1946	95	16.54	40.7	129.5	0	0	1	1.44
1946	95	14.88	108.5	106.5	0	0	1	1.44
1946	95	14.02	75.8	67.5	1.1555	0	1	1.44
1946	95	9.3	60	32.7	0	0	0	1.44
1946	95	7.91	135.7	13.1	0	0	0	1.44
1946	95	1.99	59.6	0.8	0	0	0	1.44
1947	95	1.1	45.8	4.1	0	0	0	1.44
1947	95	-2.76	45.8	13.7	0	0	0	1.44
1947	95	3.47	121	39.3	0	0	0	1.44
1947	95	8.41	50	77.2	0	0	1	1.44
1947	95	13.43	31	113.6	0	0	1	1.44
1947	95	15.53	39.5	125.5	0	0	1	1.44
1947	95	17.4	37.3	140.3	0	0	1	1.44
1947	95	18.27	3.4	112.6	1.0614	0	1	1.44
1947	95	15.12	28.9	70	0	0	0	1.44
1947	95	9.91	13.4	32.9	0	0	0	1.44
1947	95	6.93	48.1	9.5	0	0	0	1.44
1947	95	4.96	72.2	7.2	0	0	0	1.44
1948	95	5.51	112	11.8	0	0	0	1.44
1948	95	4.26	33.9	19.7	0	0	0	1.44
1948	95	7.97	21.8	48.4	0	0	0	1.44
1948	95	8.77	40.5	68.5	0	0	0	1.44
1948	95	10.97	99.7	100	0	0	1	1.44
1948	95	13.28	75.2	123.5	0	0	1	1.44
1948	95	15.59	68.1	131.3	0	0	1	1.44
1948	95	15.04	129.1	107.3	0	0	1	1.44
1948	95	14.18	64.3	64.1	1.4839	0	1	1.44
1948	95	9.6	68.8	30.5	0	0	0	1.44
1948	95	6.52	35.9	7.5	0	0	0	1.44
1948	95	5.37	61.1	2.2	0	0	0	1.44
1949	95	4.98	31.1	8.2	0	0	1	1.44
1949	95	5.21	36.7	16.4	0	0	1	1.44
1949	95	4.42	42.7	43.7	0	0	1	1.44
1949	95	9.9	49.4	75.5	0	0	1	1.44
1949	95	10.54	59.7	104.9	0	0	1	1.44
1949	95	14.76	18.7	120.6	0	0	1	1.44
1949	95	17.4	30	138.9	0	0	1	1.44
1949	95	17.01	53.8	114.1	1.9742	0	1	1.44
1949	95	16.84	22.8	72.9	0	0	0	1.44
1949	95	11.56	138.6	31.3	0	0	0	1.44
1949	95	6.01	76.8	10.4	0	0	1	1.44
1949	95	5.62	37.3	5.5	0	0	1	1.44
1950	96.5	3.7	30.4	8.8	0	0	1	1.44
1950	96.5	5.53	100.4	22.6	0	0	1	1.44
1950	96.5	7.18	24.3	45.2	0	0	1	1.44
1950	96.5	7.58	51.9	74.1	0.262	0	1	1.44
1950	96.5	10.67	124.1	103.2	0.262	0	1	1.44
1950	96.5	16.4	42.9	121.6	0.262	0	1	1.44
1950	96.5	15.97	142.4	128	0.262	0	1	1.44
1950	96.5	15.78	72.1	105.5	0.262	0	1	1.44
1950	96.5	13.06	79.9	66.1	1.3098	0	1	1.44
1950	96.5	9.39	40.7	33.6	0	0	1	1.44
1950	96.5	5.54	112.3	8.1	0	0	1	1.44
1950	96.5	0.43	51	1.9	0	0	1	1.44
1951	96.5	3.6	80.1	6.8	0	0	0	1.44
1951	96.5	3.42	97.2	15.9	0	0	0	1.44
1951	96.5	4.01	93.8	42.4	0	0	0	1.44
1951	96.5	6.62	80.6	65.4	0	0	0	1.44
1951	96.5	9.92	65.8	104.2	0	0	1	1.44
1951	96.5	13.79	25.6	117.3	0	0	1	1.44
1951	96.5	16.41	44.6	133.5	0	0	1	1.44
1951	96.5	15.13	102.3	106.8	0	0	1	1.44
1951	96.5	14.19	60	66.9	1.2699	0	1	1.44
1951	96.5	8.63	44.1	28.3	0	0	0	1.44
1951	96.5	8.25	113.3	9.6	0	0	0	1.44
1951	96.5	5.2	46.5	2.8	0	0	0	1.44
1952	96.5	2.8	44.4	2.8	0	0	0	1.44
1952	96.5	2.7	24.8	16.6	0	0	0	1.44
1952	96.5	6.36	94.5	44.6	0	0	0	1.44
1952	96.5	9.7	59.4	79.6	0	0	1	1.44
1952	96.5	13.3	65.9	111.6	0	0	1	1.44
1952	96.5	14.62	31.6	122.6	0	0	1	1.44
1952	96.5	16.97	17.4	139.9	0	0	1	1.44
1952	96.5	16.21	87.5	109.6	1.1744	0	1	1.44
1952	96.5	10.96	86.9	60.8	0	0	0	1.44
1952	96.5	8.47	80.8	31	0	0	0	1.44
1952	96.5	3.46	83.9	7.5	0	0	0	1.44
1952	96.5	2.17	57.8	1.4	0	0	0	1.44
1953	96.5	2.8	34.2	7.1	0	0	0	1.44
1953	96.5	3.46	44.8	17.8	0	0	0	1.44
1953	96.5	5.09	20.8	45.5	0	0	0	1.44
1953	96.5	7.38	66.3	70	0	0	0	1.44
1953	96.5	12.39	44.7	109.5	0	0	1	1.44
1953	96.5	13.62	54.3	123.4	0	0	1	1.44
1953	96.5	15.51	79.8	128.4	0	0	1	1.44
1953	96.5	16.17	78.9	106.9	0	0	1	1.44
1953	96.5	13.69	46.6	62.3	1.3533	0	1	1.44
1953	96.5	9.46	65.2	31.5	0	0	0	1.44
1953	96.5	8.01	42.3	11.5	0	0	0	1.44
1953	96.5	6.6	23.9	4.8	0	0	0	1.44
1954	97	2.25	42.1	7.3	0	0	1	1.44
1954	97	2.19	61.4	15	0	0	1	1.44
1954	97	5.51	67.4	41.2	0	0	1	1.44
1954	97	6.77	8	68.3	0	0	1	1.44
1954	97	11.03	74.2	111.3	0	0	1	1.44
1954	97	13.57	79	123.5	0	0	1	1.44
1954	97	14.49	62.8	129.6	0	0	1	1.44
1954	97	14.73	98	105.5	2.0911	0	1	1.44
1954	97	13.07	53.7	60.8	0	0	0	1.44
1954	97	11.93	70.1	33.2	0	0	0	1.44
1954	97	6.63	114.4	10.8	0	0	1	1.44
1954	97	6.28	64.9	4.7	0	0	1	1.44
1955	99	2.12	71.7	6.6	0	0	1	1.44
1955	99	0.91	42.4	13.4	0	0	1	1.44
1955	99	2.61	32.3	38.2	0	0	1	1.44
1955	99	9.21	13.1	76.6	0.3022	0	1	1.44
1955	99	9.68	121.6	102.7	0.3022	0	1	1.44
1955	99	13.72	57.5	120.5	0.3022	0	1	1.44
1955	99	17.12	10.4	133.2	0.3022	0	1	1.44
1955	99	17.89	23.7	118.1	0.3022	0	1	1.44
1955	99	14.05	45.5	66.8	1.511	0	1	1.44
1955	99	8.86	61.2	28.9	0	0	1	1.44
1955	99	6.41	44.2	11	0	0	1	1.44
1955	99	5.39	61.1	2.2	0	0	1	1.44
1956	101.5	3.38	105.3	6	0	0	0	1.44
1956	101.5	-1.44	24.5	13	0	0	0	1.44
1956	101.5	5.85	25.2	42.4	0	0	0	1.44
1956	101.5	6.17	36	69.4	0	0	0	1.44
1956	101.5	11.88	12	109.5	0	0	1	1.44
1956	101.5	12.74	69.4	119	0	0	1	1.44
1956	101.5	15.72	104	128.3	0	0	1	1.44
1956	101.5	13.6	111.1	101.2	0	0	1	1.44
1956	101.5	14.1	68.3	66.6	0	0	1	1.44
1956	101.5	8.9	45.9	26.6	0	0	1	1.44
1956	101.5	5.3	30.1	6.6	2.5978	0	1	1.44
1956	101.5	5.4	77.2	6.5	0	0	0	1.44
1957	107.5	5.2	43.4	6.6	0	0	0	1.44
1957	107.5	5.56	73	16.5	0	0	0	1.44
1957	107.5	9.12	40.7	50.8	0	0	0	1.44
1957	107.5	8.37	17.9	75.9	0	0	1	1.44
1957	107.5	9.99	38.4	106.6	0	0	1	1.44
1957	107.5	15.23	60.7	124.2	0	0	1	1.44
1957	107.5	16.75	72.8	138.8	0	0	1	1.44
1957	107.5	15.39	96.8	110.9	1.8087	0	1	1.44
1957	107.5	12.74	78.7	67.1	0	0	0	1.44
1957	107.5	10.88	61.8	34.2	0	0	0	1.44
1957	107.5	6	53.3	9.7	0	0	0	1.44
1957	107.5	3.83	74.2	4	0	0	0	1.44
1958	115	3.4	76.8	8.2	0	0	0	1.44
1958	115	4.86	72.7	21.1	0	0	0	1.44
1958	115	3.51	57	37.4	0	0	0	1.44
1958	115	7.16	36.3	76.2	0	0	0	1.44
1958	115	11.52	50.7	109.8	0	0	1	1.44
1958	115	13.99	138.8	122	0	0	1	1.44
1958	115	15.86	64.9	130.6	0	0	1	1.44
1958	115	15.78	63.8	106.4	0	0	1	1.44
1958	115	14.93	79.2	64.6	1.3139	0	1	1.44
1958	115	10.48	69.6	30.5	0	0	0	1.44
1958	115	5.96	54.1	7.7	0	0	0	1.44
1958	115	4.39	86.1	3.6	0	0	0	1.44
1959	124	0.98	98.1	1.2	0	0	1	1.44
1959	124	3.61	16.2	16.3	0	0	1	1.44
1959	124	6.9	61.6	42.3	0	0	1	1.44
1959	124	9.47	61.4	76.8	0	0	1	1.44
1959	124	11.83	19.4	108.5	0	0	1	1.44
1959	124	14.84	28.7	124	0	0	1	1.44
1959	124	17.35	68.1	134.3	0	0	1	1.44
1959	124	17.33	32.6	111.7	2.029	0	1	1.44
1959	124	14.35	4.7	66.7	0	0	0	1.44
1959	124	11.85	55.3	31.8	0	0	0	1.44
1959	124	6.38	59.9	9.8	0	0	1	1.44
1959	124	5.46	98.3	5.4	0	0	1	1.44
1960	120	3.5	82.2	5.9	0	0	1	1.44
1960	120	4.08	63.1	18.1	0	0	1	1.44
1960	120	5.75	47.4	46.1	0	0	1	1.44
